,Close
2019-04-10,0.003078
2019-04-11,0.002796
2019-04-12,0.002827
2019-04-13,0.002902
2019-04-14,0.002891
2019-04-15,0.002821
2019-04-16,0.002809
2019-04-17,0.002845
2019-04-18,0.002963
2019-04-19,0.002901
2019-04-20,0.002887
2019-04-21,0.002782
2019-04-22,0.002787
2019-04-23,0.00274
2019-04-24,0.002657
2019-04-25,0.002501
2019-04-26,0.002541
2019-04-27,0.002582
2019-04-28,0.002547
2019-04-29,0.002466
2019-04-30,0.002497
2019-05-01,0.002539
2019-05-02,0.002573
2019-05-03,0.002663
2019-05-04,0.002647
2019-05-05,0.002598
2019-05-06,0.002525
2019-05-07,0.002478
2019-05-08,0.002478
2019-05-09,0.002482
2019-05-10,0.002525
2019-05-11,0.002693
2019-05-12,0.002568
2019-05-13,0.002666
2019-05-14,0.002987
2019-05-15,0.003219
2019-05-16,0.003089
2019-05-17,0.00288
2019-05-18,0.002991
2019-05-19,0.003086
2019-05-20,0.002937
2019-05-21,0.003045
2019-05-22,0.002908
2019-05-23,0.002927
2019-05-24,0.002969
2019-05-25,0.002943
2019-05-26,0.00297
2019-05-27,0.003024
2019-05-28,0.003052
2019-05-29,0.003068
2019-05-30,0.003209
2019-05-31,0.003355
2019-06-01,0.003351
2019-06-02,0.003316
2019-06-03,0.003106
2019-06-04,0.002981
2019-06-05,0.003025
2019-06-06,0.003131
2019-06-07,0.003114
2019-06-08,0.003073
2019-06-09,0.003027
2019-06-10,0.003046
2019-06-11,0.003094
2019-06-12,0.003037
2019-06-13,0.003111
2019-06-14,0.003062
2019-06-15,0.003069
2019-06-16,0.003064
2019-06-17,0.003091
2019-06-18,0.003061
2019-06-19,0.003089
2019-06-20,0.003068
2019-06-21,0.003168
2019-06-22,0.003175
2019-06-23,0.003222
2019-06-24,0.00329
2019-06-25,0.003248
2019-06-26,0.003282
2019-06-27,0.00322
2019-06-28,0.003308
2019-06-29,0.003367
2019-06-30,0.003266
2019-07-01,0.003202
2019-07-02,0.003138
2019-07-03,0.003163
2019-07-04,0.00322
2019-07-05,0.003785
2019-07-06,0.003505
2019-07-07,0.003531
2019-07-08,0.003512
2019-07-09,0.003531
2019-07-10,0.003345
2019-07-11,0.003209
2019-07-12,0.003289
2019-07-13,0.003262
2019-07-14,0.003056
2019-07-15,0.003121
2019-07-16,0.002855
2019-07-17,0.002969
2019-07-18,0.003098
2019-07-19,0.003057
2019-07-20,0.003137
2019-07-21,0.003075
2019-07-22,0.003024
2019-07-23,0.002932
2019-07-24,0.002975
2019-07-25,0.002961
2019-07-26,0.002923
2019-07-27,0.002884
2019-07-28,0.002838
2019-07-29,0.002895
2019-07-30,0.002858
2019-07-31,0.002887
2019-08-01,0.002992
2019-08-02,0.0029
2019-08-03,0.002907
2019-08-04,0.002967
2019-08-05,0.003077
2019-08-06,0.002925
2019-08-07,0.002979
2019-08-08,0.002908
2019-08-09,0.002916
2019-08-10,0.002912
2019-08-11,0.002883
2019-08-12,0.002876
2019-08-13,0.002827
2019-08-14,0.002759
2019-08-15,0.002727
2019-08-16,0.002687
2019-08-17,0.002648
2019-08-18,0.002741
2019-08-19,0.002802
2019-08-20,0.002798
2019-08-21,0.002667
2019-08-22,0.002697
2019-08-23,0.002662
2019-08-24,0.002632
2019-08-25,0.002647
2019-08-26,0.00266
